iter	Passed	Remaining
0	7	7221
1	14	7003
2	20	6867
3	27	6862
4	34	6797
5	40	6724
6	47	6713
7	53	6665
8	60	6672
9	67	6652
10	73	6636
11	80	6621
12	87	6623
13	93	6614
14	100	6602
15	107	6590
16	113	6583
17	120	6582
18	127	6578
19	134	6570
20	140	6560
21	147	6559
22	154	6547
23	160	6539
24	167	6543
25	174	6526
26	181	6531
27	188	6536
28	194	6527
29	201	6520
30	208	6524
31	215	6517
32	222	6514
33	228	6505
34	235	6498
35	242	6487
36	248	6476
37	255	6466
38	262	6462
39	269	6458
40	275	6451
41	282	6446
42	289	6437
43	296	6433
44	302	6421
45	309	6413
46	316	6409
47	323	6407
48	330	6405
49	336	6394
50	343	6386
51	349	6380
52	356	6376
53	363	6368
54	370	6361
55	376	6352
56	383	6345
57	390	6338
58	396	6329
59	403	6324
60	410	6313
61	416	6305
62	423	6299
63	430	6293
64	437	6286
65	443	6282
66	450	6271
67	457	6265
68	464	6262
69	470	6254
70	477	6246
71	484	6243
72	491	6237
73	497	6229
74	504	6226
75	511	6219
76	518	6211
77	524	6203
78	531	6196
79	537	6186
80	544	6181
81	551	6175
82	558	6169
83	565	6167
84	571	6156
85	578	6149
86	585	6141
87	591	6134
88	598	6127
89	605	6120
90	611	6113
91	618	6105
92	625	6096
93	631	6090
94	638	6084
95	645	6075
96	651	6069
97	658	6061
98	665	6053
99	671	6047
100	678	6042
101	686	6039
102	692	6032
103	699	6025
104	705	6017
105	712	6009
106	719	6007
107	726	6001
108	733	5994
109	740	5988
110	746	5981
111	753	5975
112	760	5970
113	767	5965
114	774	5959
115	781	5952
116	787	5944
117	794	5938
118	801	5933
119	808	5926
120	814	5920
121	821	5913
122	828	5910
123	835	5902
124	842	5895
125	849	5890
126	855	5883
127	862	5875
128	869	5869
129	876	5863
130	882	5856
131	889	5849
132	896	5844
133	903	5840
134	910	5833
135	917	5827
136	923	5819
137	930	5813
138	933	5782
139	940	5775
140	946	5766
141	953	5760
142	960	5753
143	966	5746
144	973	5740
145	980	5733
146	987	5729
147	994	5722
148	1000	5715
149	1007	5707
150	1014	5701
151	1020	5695
152	1027	5690
153	1034	5684
154	1041	5676
155	1048	5670
156	1055	5664
157	1061	5656
158	1068	5650
159	1074	5643
160	1081	5636
161	1088	5630
162	1095	5626
163	1102	5619
164	1109	5613
165	1116	5608
166	1123	5604
167	1130	5598
168	1137	5592
169	1144	5585
170	1150	5578
171	1157	5571
172	1163	5563
173	1170	5557
174	1177	5551
175	1184	5544
176	1191	5538
177	1197	5532
178	1204	5525
179	1211	5518
180	1218	5512
181	1224	5505
182	1231	5499
183	1238	5491
184	1245	5485
185	1252	5479
186	1259	5474
187	1266	5468
188	1273	5463
189	1279	5455
190	1286	5448
191	1293	5441
192	1299	5435
193	1306	5428
194	1313	5422
195	1320	5416
196	1327	5410
197	1334	5404
198	1341	5398
199	1348	5392
200	1355	5386
201	1361	5378
202	1368	5372
203	1375	5366
204	1382	5359
205	1389	5354
206	1396	5348
207	1402	5342
208	1410	5336
209	1416	5330
210	1423	5323
211	1430	5317
212	1437	5310
213	1444	5303
214	1450	5297
215	1458	5292
216	1464	5285
217	1471	5278
218	1478	5271
219	1484	5264
220	1491	5257
221	1498	5251
222	1505	5244
223	1512	5239
224	1519	5232
225	1526	5226
226	1532	5219
227	1539	5213
228	1546	5206
229	1552	5198
230	1559	5192
231	1566	5186
232	1573	5180
233	1580	5172
234	1586	5165
235	1593	5158
236	1600	5152
237	1607	5147
238	1614	5141
239	1621	5135
240	1628	5127
241	1635	5121
242	1642	5116
243	1648	5109
244	1655	5102
245	1662	5095
246	1669	5088
247	1675	5081
248	1682	5074
249	1689	5068
250	1696	5061
251	1703	5056
252	1710	5049
253	1716	5042
254	1723	5035
255	1730	5029
256	1737	5022
257	1744	5015
258	1750	5008
259	1757	5002
260	1764	4995
261	1771	4989
262	1778	4982
263	1784	4974
264	1790	4967
265	1797	4960
266	1804	4953
267	1811	4948
268	1818	4940
269	1824	4934
270	1831	4927
271	1838	4920
272	1845	4914
273	1852	4907
274	1858	4900
275	1865	4893
276	1872	4886
277	1878	4879
278	1885	4873
279	1892	4866
280	1898	4859
281	1905	4851
282	1912	4845
283	1919	4839
284	1926	4832
285	1932	4825
286	1939	4818
287	1946	4811
288	1953	4804
289	1960	4798
290	1967	4792
291	1973	4785
292	1980	4778
293	1986	4771
294	1993	4764
295	2000	4757
296	2006	4750
297	2013	4742
298	2020	4736
299	2026	4729
300	2033	4722
301	2040	4716
302	2047	4709
303	2053	4702
304	2061	4696
305	2067	4689
306	2074	4682
307	2081	4675
308	2087	4669
309	2094	4661
310	2101	4655
311	2107	4648
312	2114	4641
313	2121	4634
314	2127	4627
315	2134	4620
316	2141	4613
317	2148	4606
318	2154	4599
319	2161	4593
320	2168	4587
321	2175	4580
322	2182	4574
323	2188	4567
324	2195	4560
325	2202	4553
326	2209	4547
327	2216	4540
328	2222	4533
329	2229	4526
330	2236	4519
331	2243	4513
332	2249	4506
333	2257	4500
334	2264	4494
335	2270	4487
336	2277	4480
337	2284	4474
338	2291	4467
339	2297	4460
340	2304	4454
341	2311	4447
342	2318	4441
343	2325	4434
344	2332	4427
345	2338	4420
346	2345	4414
347	2352	4407
348	2359	4401
349	2365	4393
350	2372	4387
351	2379	4380
352	2386	4373
353	2393	4367
354	2400	4360
355	2406	4353
356	2413	4347
357	2420	4340
358	2427	4333
359	2433	4326
360	2440	4319
361	2446	4312
362	2453	4306
363	2460	4299
364	2467	4292
365	2474	4286
366	2480	4279
367	2487	4272
368	2494	4266
369	2501	4259
370	2508	4252
371	2515	4246
372	2522	4240
373	2529	4233
374	2536	4226
375	2542	4220
376	2549	4213
377	2556	4206
378	2563	4199
379	2569	4192
380	2576	4185
381	2583	4179
382	2589	4172
383	2596	4165
384	2603	4158
385	2610	4151
386	2617	4145
387	2623	4138
388	2630	4131
389	2637	4125
390	2644	4118
391	2650	4111
392	2657	4104
393	2664	4097
394	2671	4091
395	2677	4084
396	2684	4077
397	2691	4070
398	2698	4064
399	2705	4057
400	2711	4051
401	2718	4044
402	2725	4037
403	2732	4030
404	2738	4023
405	2745	4016
406	2752	4009
407	2758	4002
408	2765	3995
409	2771	3988
410	2778	3982
411	2785	3975
412	2792	3968
413	2798	3961
414	2805	3955
415	2812	3948
416	2819	3941
417	2825	3934
418	2832	3927
419	2839	3920
420	2846	3914
421	2853	3908
422	2860	3901
423	2867	3895
424	2873	3888
425	2880	3881
426	2887	3874
427	2894	3868
428	2901	3862
429	2908	3855
430	2915	3849
431	2922	3842
432	2928	3835
433	2935	3828
434	2942	3821
435	2949	3814
436	2955	3808
437	2962	3801
438	2969	3794
439	2976	3787
440	2982	3781
441	2989	3774
442	2996	3767
443	3002	3760
444	3009	3753
445	3016	3746
446	3023	3740
447	3030	3733
448	3036	3726
449	3043	3719
450	3050	3712
451	3057	3706
452	3064	3699
453	3070	3693
454	3077	3686
455	3084	3679
456	3091	3673
457	3098	3666
458	3105	3659
459	3112	3653
460	3118	3646
461	3125	3639
462	3132	3633
463	3139	3626
464	3146	3619
465	3152	3612
466	3159	3606
467	3166	3599
468	3173	3592
469	3180	3586
470	3186	3579
471	3193	3572
472	3200	3566
473	3207	3559
474	3213	3552
475	3220	3545
476	3227	3538
477	3234	3531
478	3241	3525
